countyFIPS,County_Name,State,Date,Confirmed,Deaths,population,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_staffed_adult_icu_beds,inpatient_beds_utilization,percent_of_inpatients_with_covid,inpatient_bed_covid_utilization,adult_icu_bed_covid_utilization,adult_icu_bed_utilization,reporting_cutoff_start,deaths_covid
0,statewide unallocated,AL,24-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,25-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,26-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,27-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,28-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,29-02-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,01-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,02-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,03-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,04-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,05-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,06-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,07-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,08-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,09-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,10-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,11-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,12-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
